sample_id,candidate_id,decision_timestamp,old_direction,recovered_direction,final_direction,direction_source,direction_confidence,direction_recovery_reason,conflicting_evidence,pre_entry_only,used_post_entry_data,usable_for_directional_replay
sample_001,,2026-05-19T17:15:00+00:00,UNKNOWN,LONG,LONG,PRE_DECISION_SWEEP_INFERENCE,2,M1_DOWNWARD_SWEEP;sweep_timestamp=2026-05-19T16:31:00+00:00;sweep_extreme=4464.68;swept_level=4487.23;sweep_confidence=HIGH;PRE_ANCHOR_DOWNWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=HIGH,,True,False,True
sample_002,,2026-05-19T15:15:00+00:00,LONG,UNKNOWN,LONG,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_003,,2026-05-19T19:30:00+00:00,SHORT,UNKNOWN,SHORT,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_004,,2026-05-19T10:45:00+00:00,SHORT,UNKNOWN,SHORT,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_005,,2026-05-19T08:15:00+00:00,LONG,UNKNOWN,LONG,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_006,,2026-05-19T13:45:00+00:00,UNKNOWN,LONG,LONG,PRE_DECISION_SWEEP_INFERENCE,2,M1_DOWNWARD_SWEEP;sweep_timestamp=2026-05-19T13:38:00+00:00;sweep_extreme=4534.17;swept_level=4536.01;sweep_confidence=HIGH;PRE_ANCHOR_DOWNWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=HIGH,,True,False,True
sample_007,,2026-05-18T07:15:00+00:00,UNKNOWN,SHORT,SHORT,PRE_DECISION_SWEEP_INFERENCE,2,M1_UPWARD_SWEEP;sweep_timestamp=2026-05-18T07:05:00+00:00;sweep_extreme=4549.83;swept_level=4548.46;sweep_confidence=HIGH;PRE_ANCHOR_UPWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=HIGH,,True,False,True
sample_008,,2026-03-27T01:15:00+00:00,UNKNOWN,LONG,LONG,PRE_DECISION_SWEEP_INFERENCE,2,M1_DOWNWARD_SWEEP;sweep_timestamp=2026-03-27T01:10:00+00:00;sweep_extreme=4390.17;swept_level=4391.29;sweep_confidence=HIGH;PRE_ANCHOR_DOWNWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=HIGH,,True,False,True
sample_009,,2026-05-19T12:00:00+00:00,UNKNOWN,LONG,LONG,PRE_DECISION_SWEEP_INFERENCE,2,M1_DOWNWARD_SWEEP;sweep_timestamp=2026-05-19T11:28:00+00:00;sweep_extreme=4536.4;swept_level=4537.45;sweep_confidence=HIGH;PRE_ANCHOR_DOWNWARD_SWEEP_REJECTED_OR_MOVED_AWAY|CONTROL_SWEEP_USED_PRE_ANCHOR_CANDLES_ONLY|ANCHOR_CANDLE_EXCLUDED|POST_ANCHOR_CANDLES_EXCLUDED;raw_confidence=HIGH,,True,False,True
sample_010,,2026-05-19T05:30:00+00:00,LONG,UNKNOWN,LONG,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_011,,2026-05-19T18:30:00+00:00,SHORT,UNKNOWN,SHORT,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_012,,2026-05-19T03:00:00+00:00,SHORT,UNKNOWN,SHORT,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
sample_013,,2026-05-19T07:15:00+00:00,LONG,UNKNOWN,LONG,EXISTING_METADATA,3,Existing visual-pack direction preserved.,,True,False,True
