row_type,sample_id,symbol,anchor_timestamp,source_mode,session,volatility_bucket,daily_atr_at_anchor,direction_guess,direction_confidence,direction_source_timeframe,sweep_type,swept_level,sweep_extreme,sweep_timestamp,direction_reason_codes,entry_hypothesis_type,entry_price,entry_level_source,entry_level_confidence,entry_level_reason_codes,entry_is_heuristic,entry_level_is_heuristic,entry_direction_conflict,pip_size,matched_control_for_entry_source,matched_control_for_session,control_generation_method,control_random_seed,control_lookahead_safe,sweep_control_lookback_minutes,sweep_control_anchor_delay_minutes,control_skip_reason,sl_20_price,sl_40_price,sl_20_hit,sl_40_hit,time_to_sl_20_minutes,time_to_sl_40_minutes,reaction_5m_pips,reaction_15m_pips,reaction_30m_pips,reaction_60m_pips,reaction_240m_pips,time_to_50_pips_minutes,time_to_100_pips_minutes,time_to_250_pips_minutes,time_to_500_pips_minutes,time_to_1000_pips_minutes,fast_reaction_100pips_15m,slow_reaction_100pips_30m_plus,immediate_reaction_good,max_favorable_pips,max_adverse_pips,time_to_max_favorable_minutes,time_to_max_adverse_minutes,hit_50_pips,hit_100_pips,hit_250_pips,hit_500_pips,hit_1000_pips,be_possible_after_100_pips,returned_to_entry_after_100_pips,be_would_protect_after_100_pips,accumulation_after_entry,dirty_chop_after_entry,entry_cross_count_first_60m,m5_followthrough_quality,automatic_outcome_label,secondary_outcome_flags,reason_codes,limitations,visual_html_path
CANDIDATE,sample_001,XAUUSD,2026-01-29T14:30:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK_OPEN,LOW,114.3743,SHORT,MEDIUM,M5,UPWARD_SWEEP,5539.62,5540.3,2026-01-29T14:20:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,5530.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,True,False,0.1,,,,,,,,,5532.0,5534.0,True,True,116.0,116.0,,,,,2255.5,109.0,111.0,126.0,151.0,158.0,False,True,False,4317.7,197.6,178.0,118.0,True,True,True,True,True,True,True,True,True,False,0,GOOD,NO_REACTION,ACCUMULATION_AFTER_ENTRY|RETURNED_TO_ENTRY_AFTER_100_PIPS,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL|SLOW_100P_REACTION,,examples/sample_001.html
CANDIDATE,sample_002,XAUUSD,2026-01-29T18:45:00+00:00,CANDIDATE_WINDOW_MODE,OTHER,LOW,114.3743,SHORT,HIGH,M5,UPWARD_SWEEP,5297.22,5311.19,2026-01-29T18:30:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,5311.19,SWEEP_EXTREME,LOW,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME,True,True,False,0.1,,,,,,,,,5313.19,5315.19,True,True,30.0,30.0,474.9,304.0,-90.8,-394.4,-498.1,0.0,0.0,0.0,2.0,,True,False,True,826.2,641.8,9.0,59.0,True,True,True,True,False,True,True,True,False,False,1,GOOD,GOOD_FAST_REACTION,RETURNED_TO_ENTRY_AFTER_100_PIPS,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|FAST_100P_REACTION,,examples/sample_002.html
CANDIDATE,sample_003,XAUUSD,2026-01-30T01:00:00+00:00,CANDIDATE_WINDOW_MODE,ASIA_OPEN,MID,145.4793,UNKNOWN_DIRECTION,UNKNOWN,,,,,,NO_CLEAR_M5_OR_M1_SWEEP,ROUND_LEVEL_TOUCH_ENTRY,5426.08,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,True,True,False,0.1,,,,,,,,,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_DIRECTION,,UNKNOWN_DIRECTION|EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,DIRECTION_NOT_INFERRED,examples/sample_003.html
CANDIDATE,sample_004,XAUUSD,2026-02-02T06:45:00+00:00,CANDIDATE_WINDOW_MODE,LONDON,MID,191.7493,SHORT,HIGH,M5,UPWARD_SWEEP,4705.12,4713.46,2026-02-02T06:45:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4680.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,True,False,0.1,,,,,,,,,4682.0,4684.0,True,True,0.0,0.0,-81.0,11.4,214.7,1170.3,433.4,11.0,22.0,28.0,46.0,59.0,False,False,True,2778.6,334.6,113.0,2.0,True,True,True,True,True,True,True,True,False,True,3,GOOD,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY|RETURNED_TO_ENTRY_AFTER_100_PIPS,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL|SL20_BEFORE_50P,,examples/sample_004.html
CANDIDATE,sample_005,XAUUSD,2026-02-02T01:15:00+00:00,CANDIDATE_WINDOW_MODE,ASIA_OPEN,MID,191.7493,LONG,HIGH,M5,DOWNWARD_SWEEP,4711.48,4698.82,2026-02-02T01:15:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,UNKNOWN,UNKNOWN,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,True,True,True,0.1,,,,,,,,,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL|EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME|ENTRY_DIRECTION_CONFLICT,ENTRY_DIRECTION_CONFLICT,examples/sample_005.html
CANDIDATE,sample_006,XAUUSD,2026-02-04T01:00:00+00:00,CANDIDATE_WINDOW_MODE,ASIA_OPEN,HIGH,242.1543,UNKNOWN_DIRECTION,UNKNOWN,,,,,,NO_CLEAR_M5_OR_M1_SWEEP,ROUND_LEVEL_TOUCH_ENTRY,4969.81,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,True,True,False,0.1,,,,,,,,,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_DIRECTION,,UNKNOWN_DIRECTION|EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,DIRECTION_NOT_INFERRED,examples/sample_006.html
CANDIDATE,sample_007,XAUUSD,2026-02-03T01:00:00+00:00,CANDIDATE_WINDOW_MODE,ASIA_OPEN,HIGH,222.2714,UNKNOWN_DIRECTION,UNKNOWN,,,,,,NO_CLEAR_M5_OR_M1_SWEEP,UNKNOWN_ENTRY_LEVEL,,UNKNOWN,UNKNOWN,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY,True,True,False,0.1,,,,,,,,,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL|DIRECTION_REQUIRED_FOR_SWEEP_ENTRY,DIRECTION_REQUIRED_FOR_SWEEP_ENTRY,examples/sample_007.html
CANDIDATE,sample_008,XAUUSD,2026-03-02T03:00:00+00:00,CANDIDATE_WINDOW_MODE,ASIA,MID,123.9536,LONG,HIGH,M5,DOWNWARD_SWEEP,5342.48,5340.88,2026-03-02T02:55:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,5340.0,ROUND_LEVEL,HIGH,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL,True,True,False,0.1,,,,,,,,,5338.0,5336.0,True,True,0.0,0.0,-51.7,-21.2,-291.3,-97.7,143.9,0.0,104.0,158.0,,,False,True,True,272.3,368.5,180.0,29.0,True,True,True,False,False,True,False,False,False,True,5,MODERATE,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_ROUND_LEVEL|SL20_BEFORE_50P|SLOW_100P_REACTION,,examples/sample_008.html
CANDIDATE,sample_009,XAUUSD,2026-03-02T07:15:00+00:00,CANDIDATE_WINDOW_MODE,LONDON,MID,123.9536,LONG,HIGH,M5,DOWNWARD_SWEEP,5345.66,5340.62,2026-03-02T07:15:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,5345.23,SWEEP_EXTREME,LOW,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME,True,True,False,0.1,,,,,,,,,5343.23,5341.23,True,True,1.0,1.0,55.8,56.5,151.4,305.8,510.8,0.0,18.0,50.0,112.0,,False,False,True,740.3,46.1,125.0,1.0,True,True,True,True,False,True,False,False,False,False,2,GOOD,GOOD_SLOW_REACTION,,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEEP_EXTREME,,examples/sample_009.html
CANDIDATE,sample_010,XAUUSD,2026-03-03T01:00:00+00:00,CANDIDATE_WINDOW_MODE,ASIA_OPEN,MID,128.7714,UNKNOWN_DIRECTION,UNKNOWN,,,,,,NO_CLEAR_M5_OR_M1_SWEEP,ROUND_LEVEL_TOUCH_ENTRY,5346.37,SWEPT_LIQUIDITY_LEVEL,MEDIUM,EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,True,True,False,0.1,,,,,,,,,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_DIRECTION,,UNKNOWN_DIRECTION|EXPLICIT_ENTRY_LEVEL_METADATA_FROM_VISUAL_PACK|EXPLICIT_SOURCE_SWEPT_LIQUIDITY_LEVEL,DIRECTION_NOT_INFERRED,examples/sample_010.html
