candidate_id,candidate_source,date,decision_timestamp,diagnostic_outcome_group,diagnostic_outcome_mapping_reason,direction,direction_confidence,direction_rule_version,direction_source,entry_price,exclude_reason,hour,pre_entry_only,sample_id,sample_source,session,symbol,used_post_entry_data_for_direction,visual_html_path
sample_003,SWEPT_LIQUIDITY_LEVEL,2026-01-30,2026-01-30T01:00:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,0,adelin_v2_pre_decision_sweep_v1,,5426.08,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION|UNKNOWN_DIRECTION|UNKNOWN_DIRECTION_CONFIDENCE,1,True,sample_003,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA_OPEN,XAUUSD,False,examples/sample_003.html
sample_005,SWEEP_EXTREME,2026-02-02,2026-02-02T01:15:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,1,True,sample_005,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA_OPEN,XAUUSD,False,examples/sample_005.html
sample_006,SWEPT_LIQUIDITY_LEVEL,2026-02-04,2026-02-04T01:00:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,0,adelin_v2_pre_decision_sweep_v1,,4969.81,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION|UNKNOWN_DIRECTION|UNKNOWN_DIRECTION_CONFIDENCE,1,True,sample_006,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA_OPEN,XAUUSD,False,examples/sample_006.html
sample_007,UNKNOWN,2026-02-03,2026-02-03T01:00:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,UNKNOWN_DIRECTION,0,adelin_v2_pre_decision_sweep_v1,,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|UNKNOWN_DIRECTION|UNKNOWN_DIRECTION_CONFIDENCE|MISSING_ENTRY_PRICE,1,True,sample_007,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA_OPEN,XAUUSD,False,examples/sample_007.html
sample_010,SWEPT_LIQUIDITY_LEVEL,2026-03-03,2026-03-03T01:00:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,0,adelin_v2_pre_decision_sweep_v1,,5346.37,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION|UNKNOWN_DIRECTION|UNKNOWN_DIRECTION_CONFIDENCE,1,True,sample_010,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA_OPEN,XAUUSD,False,examples/sample_010.html
sample_011,UNKNOWN,2026-03-04,2026-03-04T01:00:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,0,adelin_v2_pre_decision_sweep_v1,,5110.0,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION|UNKNOWN_DIRECTION|UNKNOWN_DIRECTION_CONFIDENCE,1,True,sample_011,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA_OPEN,XAUUSD,False,examples/sample_011.html
sample_014,SWEPT_LIQUIDITY_LEVEL,2026-04-14,2026-04-14T01:00:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,0,adelin_v2_pre_decision_sweep_v1,,4750.12,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION|UNKNOWN_DIRECTION|UNKNOWN_DIRECTION_CONFIDENCE,1,True,sample_014,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_014.html
sample_015,UNKNOWN,2026-04-09,2026-04-09T01:00:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,UNKNOWN_DIRECTION,0,adelin_v2_pre_decision_sweep_v1,,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|UNKNOWN_DIRECTION|UNKNOWN_DIRECTION_CONFIDENCE|MISSING_ENTRY_PRICE,1,True,sample_015,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_015.html
sample_017,SWEEP_EXTREME,2026-05-01,2026-05-01T07:00:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_ENTRY_LEVEL|MISSING_ENTRY_PRICE,7,True,sample_017,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON_OPEN,XAUUSD,False,examples/sample_017.html
sample_018,SWEPT_LIQUIDITY_LEVEL,2026-05-07,2026-05-07T01:00:00+00:00,EXCLUDED,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION,UNKNOWN_DIRECTION,0,adelin_v2_pre_decision_sweep_v1,,4678.94,UNSUPPORTED_OUTCOME_LABEL:UNKNOWN_DIRECTION|UNKNOWN_DIRECTION|UNKNOWN_DIRECTION_CONFIDENCE,1,True,sample_018,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_018.html
