candidate_id,candidate_source,date,decision_timestamp,diagnostic_outcome_group,diagnostic_outcome_mapping_reason,direction,direction_confidence,direction_rule_version,direction_source,entry_price,fvg_ifvg_near_20p,hour,liquidity_htf_recent_level,m1_body_ratio,m1_close_high_ge_0_70,m1_close_location,m1_large_body_ge_0_60,nearest_fvg_ifvg_distance_pips,nearest_fvg_ifvg_zone_high,nearest_fvg_ifvg_zone_low,nearest_fvg_ifvg_zone_type,nearest_liquidity_distance_pips,nearest_liquidity_level,nearest_liquidity_type_timeframe,pre_entry_only,sample_id,sample_source,session,symbol,used_post_entry_data_for_direction,visual_html_path
sample_001,ROUND_LEVEL,2026-01-29,2026-01-29T14:30:00+00:00,MIXED_REACTION,AUTOMATIC_LABEL_NO_REACTION_MAPPED_TO_MIXED_REACTION,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,5530.0,True,14,False,,False,,False,0.0,5531.75,5526.35,FVG_BULLISH,129.9,5542.99,M5_RECENT_HIGH,True,sample_001,EXISTING_EXPANDED_OBJECTIVE_REPLAY,NEW_YORK_OPEN,XAUUSD,False,examples/sample_001.html
sample_002,SWEEP_EXTREME,2026-01-29,2026-01-29T18:45:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,5311.19,False,18,False,0.881849,False,0.07363,True,165.9,5294.6,5257.96,FVG_BEARISH,2114.4,5522.63,M5_RECENT_HIGH,True,sample_002,EXISTING_EXPANDED_OBJECTIVE_REPLAY,OTHER,XAUUSD,False,examples/sample_002.html
sample_004,ROUND_LEVEL,2026-02-02,2026-02-02T06:45:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,4680.0,True,6,False,0.403846,False,0.657692,False,0.0,4731.53,4661.57,FVG_BEARISH,761.6,4603.84,M5_RECENT_LOW,True,sample_004,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_004.html
sample_008,ROUND_LEVEL,2026-03-02,2026-03-02T03:00:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,5340.0,False,3,True,0.917676,False,0.071429,True,152.3,5361.38,5355.23,FVG_BEARISH,371.9,5302.81,H1_RECENT_LOW,True,sample_008,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_008.html
sample_009,SWEEP_EXTREME,2026-03-02,2026-03-02T07:15:00+00:00,MIXED_REACTION,AUTOMATIC_LABEL_GOOD_SLOW_REACTION_MAPPED_TO_MIXED_REACTION,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,5345.23,False,7,False,0.768802,False,0.050139,True,20.3,5343.2,5342.96,FVG_BULLISH,0.0,5345.23,M5_RECENT_LOW,True,sample_009,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_009.html
sample_012,ROUND_LEVEL,2026-04-01,2026-04-01T06:00:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,4690.0,True,6,False,0.644928,False,0.333333,True,0.0,4690.78,4688.13,FVG_BEARISH,117.2,4678.28,M5_RECENT_LOW,True,sample_012,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_012.html
sample_013,SWEEP_EXTREME,2026-04-01,2026-04-01T01:15:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,LONG,3,adelin_v2_pre_decision_sweep_v1,M5,4663.03,False,1,False,0.904306,True,0.945774,True,89.3,4672.84,4671.96,FVG_BULLISH,1.2,4662.91,M5_RECENT_LOW,True,sample_013,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_013.html
sample_016,ROUND_LEVEL,2026-05-01,2026-05-01T01:45:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,SHORT,2,adelin_v2_pre_decision_sweep_v1,M5,4630.0,False,1,True,0.615385,True,1.0,True,37.0,4626.3,4618.08,FVG_BULLISH,27.7,4632.77,M15_RECENT_HIGH,True,sample_016,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_016.html
sample_020,ROUND_LEVEL,2026-01-30,2026-01-30T05:15:00+00:00,FAST_FAILURE,AUTOMATIC_LABEL_FAST_SL_20_MAPPED_TO_FAST_FAILURE,LONG,2,adelin_v2_pre_decision_sweep_v1,M5,5200.0,True,5,True,0.055258,True,0.800429,False,0.0,5205.78,5185.1,FVG_BULLISH,876.6,5112.34,M15_RECENT_LOW,True,sample_020,EXISTING_EXPANDED_OBJECTIVE_REPLAY,ASIA,XAUUSD,False,examples/sample_020.html
sample_021,SWEEP_EXTREME,2026-01-30,2026-01-30T09:30:00+00:00,GOOD_FAST_REACTION,AUTOMATIC_LABEL_GOOD_FAST_REACTION,SHORT,3,adelin_v2_pre_decision_sweep_v1,M5,5186.51,True,9,False,0.432648,False,0.237443,False,0.0,5195.53,5181.04,FVG_BEARISH,532.1,5239.72,M5_RECENT_HIGH,True,sample_021,EXISTING_EXPANDED_OBJECTIVE_REPLAY,LONDON,XAUUSD,False,examples/sample_021.html
