diagnostic_outcome_group,direction_confidence,priority_reasons,priority_score,sample_id,sample_source,visual_html_path
MIXED_REACTION,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_001,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_001.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_016,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_016.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_020,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_020.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_034,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_034.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_050,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_050.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_064,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_064.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_071,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_071.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_072,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_072.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_082,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_082.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_089,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_089.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_093,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_093.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION|GOOD_WITH_H1_FAILURE_MARKER_PRESENT,4,sample_099,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_099.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_104,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_104.html
MIXED_REACTION,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_105,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_105.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_114,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_114.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_122,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_122.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_123,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_123.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_165,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_165.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_167,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_167.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION|GOOD_WITH_H1_FAILURE_MARKER_PRESENT,4,sample_169,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_169.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION|GOOD_WITH_H1_FAILURE_MARKER_PRESENT,4,sample_177,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_177.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_178,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_178.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_180,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_180.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_181,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_181.html
MIXED_REACTION,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_185,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_185.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION|GOOD_WITH_H1_FAILURE_MARKER_PRESENT,4,sample_190,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_190.html
CHOP_AFTER_ENTRY,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_194,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_194.html
FAST_FAILURE,2,CONFIDENCE_2_DIRECTION_CAUTION|FAST_WITH_H2_SUCCESS_MARKER_PRESENT,4,sample_195,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_195.html
GOOD_FAST_REACTION,2,CONFIDENCE_2_DIRECTION_CAUTION|GOOD_WITH_H1_FAILURE_MARKER_PRESENT,4,sample_198,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_198.html
MIXED_REACTION,2,SECONDARY_GROUP_REVIEW_ONLY|CONFIDENCE_2_DIRECTION_CAUTION,4,sample_200,EXISTING_EXPANDED_OBJECTIVE_REPLAY,examples/sample_200.html
