chart_path,direction,direction_confidence,direction_source,feature_count,final_diagnostic_outcome,html_path,note,present_pre_entry_features,sample_id
charts/sample_001.svg,LONG,2,PRE_DECISION_SWEEP_INFERENCE,15,FAST_FAILURE,examples/sample_001.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|high_volatility_context|liquidity_htf_recent_level|m1_close_high_ge_0_70|m1_large_body_ge_0_60|m5_upper_wick_ge_0_50|pre_decision_m1_downward_sweep|pre_decision_sweep_inferred|round_band_gt_20p|session_new_york|wick_body_m5_wick_dominant,sample_001
charts/sample_002.svg,LONG,3,EXISTING_METADATA,14,FAST_FAILURE,examples/sample_002.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|high_volatility_context|m15_close_high_ge_0_70|m1_close_low_le_0_30|m1_upper_wick_ge_0_50|numeric_level_confluence_20p|premium_session_open|round_band_10_20p|session_new_york|wick_body_m1_wick_dominant,sample_002
charts/sample_003.svg,SHORT,3,EXISTING_METADATA,13,FAST_FAILURE,examples/sample_003.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_low_le_0_30|m5_close_low_le_0_30|m5_upper_wick_ge_0_50|mid_volatility_context|numeric_level_confluence_20p|round_band_10_20p|session_new_york|wick_body_m5_wick_dominant,sample_003
charts/sample_004.svg,SHORT,3,EXISTING_METADATA,13,FAST_FAILURE,examples/sample_004.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|expansion_before_decision_proxy|fvg_ifvg_available|fvg_ifvg_near_20p|m15_close_high_ge_0_70|m15_large_body_ge_0_50|m5_close_high_ge_0_70|m5_large_body_ge_0_60|mid_volatility_context|round_band_gt_20p|session_london,sample_004
charts/sample_005.svg,LONG,3,EXISTING_METADATA,10,FAST_FAILURE,examples/sample_005.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m1_close_high_ge_0_70|m5_close_low_le_0_30|m5_large_body_ge_0_60|mid_volatility_context|round_band_gt_20p,sample_005
charts/sample_006.svg,LONG,2,PRE_DECISION_SWEEP_INFERENCE,13,GOOD_FAST_REACTION,examples/sample_006.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|liquidity_htf_recent_level|m15_close_high_ge_0_70|m15_large_body_ge_0_50|m1_close_high_ge_0_70|m5_close_high_ge_0_70|numeric_level_confluence_20p|pre_decision_m1_downward_sweep|pre_decision_sweep_inferred|round_band_10_20p,sample_006
charts/sample_007.svg,SHORT,2,PRE_DECISION_SWEEP_INFERENCE,12,GOOD_FAST_REACTION,examples/sample_007.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|m15_close_low_le_0_30|m15_large_body_ge_0_50|m1_close_high_ge_0_70|m1_large_body_ge_0_60|mid_volatility_context|pre_decision_m1_upward_sweep|pre_decision_sweep_inferred|round_band_gt_20p,sample_007
charts/sample_009.svg,LONG,2,PRE_DECISION_SWEEP_INFERENCE,14,FAST_FAILURE,examples/sample_009.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_2|direction_source_pre_decision_sweep|fvg_ifvg_available|fvg_ifvg_near_20p|m15_large_body_ge_0_50|m5_lower_wick_ge_0_50|mid_volatility_context|numeric_level_confluence_20p|pre_decision_m1_downward_sweep|pre_decision_sweep_inferred|round_band_10_20p|session_london|wick_body_m5_wick_dominant,sample_009
charts/sample_010.svg,LONG,3,EXISTING_METADATA,11,FAST_FAILURE,examples/sample_010.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m1_close_low_le_0_30|m1_large_body_ge_0_60|m5_close_low_le_0_30|m5_large_body_ge_0_60|mid_volatility_context|round_band_gt_20p,sample_010
charts/sample_011.svg,SHORT,3,EXISTING_METADATA,11,FAST_FAILURE,examples/sample_011.html,pre_entry_features_only; diagnostic_group_label_used_for_comparison,clean_target_space_proxy|direction_confidence_3|direction_source_existing_metadata|fvg_ifvg_available|fvg_ifvg_near_20p|m1_close_high_ge_0_70|m1_large_body_ge_0_60|mid_volatility_context|numeric_level_confluence_20p|round_band_10_20p|session_new_york,sample_011
