caution,difference_good_minus_fast,direction_confidence,fast_failure_n,fast_failure_present,fast_failure_rate,feature_family,feature_name,good_fast_reaction_n,good_fast_reaction_present,good_fast_reaction_rate,interpretation,sensitivity_type
mandatory sensitivity; can support only descriptive next step,0.8125,3,16,3,0.1875,m1_candle_anatomy_before_decision,m1_large_body_ge_0_60,5,5,1.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.75,3,16,12,0.75,fvg_ifvg_proximity_pre_entry,fvg_ifvg_near_20p,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.7375,3,16,1,0.0625,target_space_proxy_at_decision,liquidity_htf_recent_level,5,4,0.8,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.375,3,16,6,0.375,wick_body_proxy_before_decision,wick_body_m1_wick_dominant,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.35,3,16,4,0.25,m15_context_before_decision,m15_close_high_ge_0_70,5,3,0.6,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.35,3,16,4,0.25,wick_body_proxy_before_decision,wick_body_m5_wick_dominant,5,3,0.6,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.3125,3,16,5,0.3125,round_level_proximity,round_band_10_20p,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.2875,3,16,5,0.3125,m1_candle_anatomy_before_decision,m1_close_high_ge_0_70,5,3,0.6,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.2875,3,16,5,0.3125,m5_candle_anatomy_before_decision,m5_close_high_ge_0_70,5,3,0.6,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.2375,3,16,7,0.4375,m5_candle_anatomy_before_decision,m5_close_low_le_0_30,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.2375,3,16,7,0.4375,m5_candle_anatomy_before_decision,m5_large_body_ge_0_60,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.2375,3,16,7,0.4375,numeric_level_confluence,numeric_level_confluence_20p,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.2375,3,16,9,0.5625,round_level_proximity,round_band_gt_20p,5,4,0.8,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.2125,3,16,3,0.1875,m15_context_before_decision,m15_close_low_le_0_30,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.2125,3,16,3,0.1875,m5_candle_anatomy_before_decision,m5_upper_wick_ge_0_50,5,2,0.4,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.2,3,16,16,1.0,fvg_ifvg_proximity_pre_entry,fvg_ifvg_available,5,4,0.8,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.1875,3,16,3,0.1875,volatility_range_context_before_decision,high_volatility_context,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.1875,3,16,3,0.1875,m1_candle_anatomy_before_decision,m1_lower_wick_ge_0_50,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.1875,3,16,3,0.1875,m1_candle_anatomy_before_decision,m1_upper_wick_ge_0_50,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.1875,3,16,3,0.1875,session_hour,premium_session_open,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.1625,3,16,7,0.4375,volatility_range_context_before_decision,mid_volatility_context,5,3,0.6,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.1375,3,16,1,0.0625,compression_overlap_proxy_before_decision,expansion_before_decision_proxy,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.1375,3,16,1,0.0625,m15_context_before_decision,m15_large_body_ge_0_50,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,0.1375,3,16,1,0.0625,m5_candle_anatomy_before_decision,m5_lower_wick_ge_0_50,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.125,3,16,2,0.125,compression_overlap_proxy_before_decision,compression_overlap_proxy,5,0,0.0,directional_descriptive_only_phase_4_blocked,confidence_3_only
mandatory sensitivity; can support only descriptive next step,-0.1125,3,16,5,0.3125,session_hour,session_new_york,5,1,0.2,directional_descriptive_only_phase_4_blocked,confidence_3_only
