difference_good_minus_fast,fast_failure_n,fast_failure_present,fast_failure_rate,feature_family,feature_name,good_fast_reaction_n,good_fast_reaction_present,good_fast_reaction_rate,interpretation
-0.551852,27,23,0.851852,fvg_ifvg_proximity_pre_entry,fvg_ifvg_near_20p,10,3,0.3,directional_descriptive_only_phase_4_blocked
0.488889,27,3,0.111111,target_space_proxy_at_decision,liquidity_htf_recent_level,10,6,0.6,directional_descriptive_only_phase_4_blocked
0.403704,27,8,0.296296,m1_candle_anatomy_before_decision,m1_large_body_ge_0_60,10,7,0.7,directional_descriptive_only_phase_4_blocked
0.32963,27,10,0.37037,m1_candle_anatomy_before_decision,m1_close_high_ge_0_70,10,7,0.7,directional_descriptive_only_phase_4_blocked
-0.307407,27,11,0.407407,wick_body_proxy_before_decision,wick_body_m1_wick_dominant,10,1,0.1,directional_descriptive_only_phase_4_blocked
0.277778,27,6,0.222222,m15_context_before_decision,m15_close_high_ge_0_70,10,5,0.5,directional_descriptive_only_phase_4_blocked
-0.259259,27,7,0.259259,m1_candle_anatomy_before_decision,m1_upper_wick_ge_0_50,10,0,0.0,directional_descriptive_only_phase_4_blocked
0.214815,27,5,0.185185,m15_context_before_decision,m15_close_low_le_0_30,10,4,0.4,directional_descriptive_only_phase_4_blocked
0.203704,27,8,0.296296,m15_context_before_decision,m15_large_body_ge_0_50,10,5,0.5,directional_descriptive_only_phase_4_blocked
0.203704,27,8,0.296296,m5_candle_anatomy_before_decision,m5_close_high_ge_0_70,10,5,0.5,directional_descriptive_only_phase_4_blocked
-0.17037,27,10,0.37037,m5_candle_anatomy_before_decision,m5_large_body_ge_0_60,10,2,0.2,directional_descriptive_only_phase_4_blocked
-0.17037,27,10,0.37037,round_level_proximity,round_band_10_20p,10,2,0.2,directional_descriptive_only_phase_4_blocked
-0.159259,27,7,0.259259,session_hour,session_new_york,10,1,0.1,directional_descriptive_only_phase_4_blocked
-0.148148,27,4,0.148148,volatility_range_context_before_decision,high_volatility_context,10,0,0.0,directional_descriptive_only_phase_4_blocked
-0.148148,27,4,0.148148,session_hour,premium_session_open,10,0,0.0,directional_descriptive_only_phase_4_blocked
-0.144444,27,12,0.444444,m5_candle_anatomy_before_decision,m5_close_low_le_0_30,10,3,0.3,directional_descriptive_only_phase_4_blocked
-0.118519,27,14,0.518519,numeric_level_confluence,numeric_level_confluence_20p,10,4,0.4,directional_descriptive_only_phase_4_blocked
0.118519,27,13,0.481481,round_level_proximity,round_band_gt_20p,10,6,0.6,directional_descriptive_only_phase_4_blocked
0.114815,27,5,0.185185,pre_decision_sweep_type,pre_decision_m1_upward_sweep,10,3,0.3,directional_descriptive_only_phase_4_blocked
-0.1,27,27,1.0,fvg_ifvg_proximity_pre_entry,fvg_ifvg_available,10,9,0.9,directional_descriptive_only_phase_4_blocked
0.092593,27,11,0.407407,direction_confidence_stratum,direction_confidence_2,10,5,0.5,directional_descriptive_only_phase_4_blocked
-0.092593,27,16,0.592593,direction_confidence_stratum,direction_confidence_3,10,5,0.5,directional_descriptive_only_phase_4_blocked
-0.092593,27,16,0.592593,direction_source_stratum,direction_source_existing_metadata,10,5,0.5,directional_descriptive_only_phase_4_blocked
0.092593,27,11,0.407407,direction_source_stratum,direction_source_pre_decision_sweep,10,5,0.5,directional_descriptive_only_phase_4_blocked
0.092593,27,11,0.407407,pre_decision_sweep_type,pre_decision_sweep_inferred,10,5,0.5,directional_descriptive_only_phase_4_blocked
0.062963,27,1,0.037037,compression_overlap_proxy_before_decision,expansion_before_decision_proxy,10,1,0.1,directional_descriptive_only_phase_4_blocked
0.051852,27,4,0.148148,round_level_proximity,round_band_0_10p,10,2,0.2,directional_descriptive_only_phase_4_blocked
-0.048148,27,4,0.148148,compression_overlap_proxy_before_decision,compression_overlap_proxy,10,1,0.1,directional_descriptive_only_phase_4_blocked
-0.048148,27,4,0.148148,m1_candle_anatomy_before_decision,m1_lower_wick_ge_0_50,10,1,0.1,directional_descriptive_only_phase_4_blocked
-0.048148,27,4,0.148148,session_hour,session_london,10,1,0.1,directional_descriptive_only_phase_4_blocked
0.040741,27,7,0.259259,m5_candle_anatomy_before_decision,m5_upper_wick_ge_0_50,10,3,0.3,directional_descriptive_only_phase_4_blocked
0.037037,27,26,0.962963,target_space_proxy_at_decision,clean_target_space_proxy,10,10,1.0,directional_descriptive_only_phase_4_blocked
-0.033333,27,9,0.333333,m1_candle_anatomy_before_decision,m1_close_low_le_0_30,10,3,0.3,directional_descriptive_only_phase_4_blocked
0.02963,27,10,0.37037,wick_body_proxy_before_decision,wick_body_m5_wick_dominant,10,4,0.4,directional_descriptive_only_phase_4_blocked
0.014815,27,5,0.185185,pre_decision_sweep_type,pre_decision_m1_downward_sweep,10,2,0.2,directional_descriptive_only_phase_4_blocked
-0.011111,27,3,0.111111,m5_candle_anatomy_before_decision,m5_lower_wick_ge_0_50,10,1,0.1,directional_descriptive_only_phase_4_blocked
0.007407,27,16,0.592593,volatility_range_context_before_decision,mid_volatility_context,10,6,0.6,directional_descriptive_only_phase_4_blocked
