row_type,sample_id,symbol,anchor_timestamp,source_mode,session,direction_guess,direction_confidence,direction_source_timeframe,sweep_type,swept_level,sweep_timestamp,direction_reason_codes,entry_hypothesis_type,entry_price,entry_level_source,entry_is_heuristic,pip_size,sl_20_price,sl_40_price,sl_20_hit,sl_40_hit,time_to_sl_20_minutes,time_to_sl_40_minutes,reaction_5m_pips,reaction_15m_pips,reaction_30m_pips,reaction_60m_pips,reaction_240m_pips,time_to_50_pips_minutes,time_to_100_pips_minutes,time_to_250_pips_minutes,time_to_500_pips_minutes,time_to_1000_pips_minutes,fast_reaction_100pips_15m,slow_reaction_100pips_30m_plus,immediate_reaction_good,max_favorable_pips,max_adverse_pips,time_to_max_favorable_minutes,time_to_max_adverse_minutes,hit_50_pips,hit_100_pips,hit_250_pips,hit_500_pips,hit_1000_pips,be_possible_after_100_pips,returned_to_entry_after_100_pips,be_would_protect_after_100_pips,accumulation_after_entry,dirty_chop_after_entry,entry_cross_count_first_60m,m5_followthrough_quality,automatic_outcome_label,secondary_outcome_flags,reason_codes,limitations,visual_html_path
CANDIDATE,sample_001,XAUUSD,2026-05-19T17:15:00+00:00,CANDIDATE_WINDOW_MODE,OTHER,SHORT,HIGH,M5,UPWARD_SWEEP,4512.29,2026-05-19T17:05:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4490.0,VISUAL_SAMPLE_NUMBER_THEORY_LEVEL,True,0.1,4492.0,4494.0,True,True,0.0,0.0,-5.5,-71.2,-19.0,-96.9,-152.7,6.0,,,,,False,False,True,55.4,224.5,10.0,137.0,True,False,False,False,False,False,False,False,False,True,10,CHOP,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY,SL20_BEFORE_50P,,examples/sample_001.html
CANDIDATE,sample_002,XAUUSD,2026-05-19T15:15:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK,SHORT,HIGH,M5,UPWARD_SWEEP,4542.48,2026-05-19T15:10:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,,True,0.1,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL,NO_ROUND_LEVEL_WITHIN_THRESHOLD,examples/sample_002.html
CANDIDATE,sample_003,XAUUSD,2026-05-19T19:30:00+00:00,CANDIDATE_WINDOW_MODE,OTHER,SHORT,MEDIUM,M5,UPWARD_SWEEP,4511.97,2026-05-19T19:30:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,,True,0.1,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL,NO_ROUND_LEVEL_WITHIN_THRESHOLD,examples/sample_003.html
CANDIDATE,sample_004,XAUUSD,2026-05-19T10:45:00+00:00,CANDIDATE_WINDOW_MODE,LONDON,LONG,MEDIUM,M5,DOWNWARD_SWEEP,4542.56,2026-05-19T10:40:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,,True,0.1,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL,NO_ROUND_LEVEL_WITHIN_THRESHOLD,examples/sample_004.html
CANDIDATE,sample_005,XAUUSD,2026-05-19T08:15:00+00:00,CANDIDATE_WINDOW_MODE,LONDON,SHORT,HIGH,M5,UPWARD_SWEEP,4545.36,2026-05-19T08:10:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,,True,0.1,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL,NO_ROUND_LEVEL_WITHIN_THRESHOLD,examples/sample_005.html
CANDIDATE,sample_006,XAUUSD,2026-05-19T13:45:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK_OPEN,LONG,HIGH,M5,DOWNWARD_SWEEP,4538.39,2026-05-19T13:35:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,,True,0.1,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL,NO_ROUND_LEVEL_WITHIN_THRESHOLD,examples/sample_006.html
CANDIDATE,sample_007,XAUUSD,2026-05-18T07:15:00+00:00,CANDIDATE_WINDOW_MODE,LONDON_OPEN,SHORT,HIGH,M5,UPWARD_SWEEP,4548.46,2026-05-18T07:05:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,,True,0.1,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL,NO_ROUND_LEVEL_WITHIN_THRESHOLD,examples/sample_007.html
CANDIDATE,sample_008,XAUUSD,2026-03-27T01:15:00+00:00,CANDIDATE_WINDOW_MODE,ASIA_OPEN,LONG,HIGH,M5,DOWNWARD_SWEEP,4391.29,2026-03-27T01:10:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,,True,0.1,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL,NO_ROUND_LEVEL_WITHIN_THRESHOLD,examples/sample_008.html
CANDIDATE,sample_009,XAUUSD,2026-05-19T12:00:00+00:00,CANDIDATE_WINDOW_MODE,NEW_YORK,SHORT,MEDIUM,M5,UPWARD_SWEEP,4544.26,2026-05-19T11:35:00+00:00,RECENT_LOCAL_HIGH_TAKEN_AND_REJECTED_OR_STALLED,ROUND_LEVEL_TOUCH_ENTRY,4540.0,VISUAL_SAMPLE_NUMBER_THEORY_LEVEL,True,0.1,4542.0,4544.0,True,True,0.0,23.0,6.9,15.8,-19.3,-12.9,71.4,98.0,103.0,,,,False,True,False,145.3,80.0,104.0,123.0,True,True,False,False,False,True,True,True,False,True,12,CHOP,FAST_SL_20,DIRTY_CHOP_AFTER_ENTRY|RETURNED_TO_ENTRY_AFTER_100_PIPS,SL20_BEFORE_50P|SLOW_100P_REACTION,,examples/sample_009.html
CANDIDATE,sample_010,XAUUSD,2026-05-19T05:30:00+00:00,CANDIDATE_WINDOW_MODE,LONDON,LONG,HIGH,M5,DOWNWARD_SWEEP,4552.93,2026-05-19T05:15:00+00:00,RECENT_LOCAL_LOW_TAKEN_AND_REJECTED_OR_STALLED,UNKNOWN_ENTRY_LEVEL,,,True,0.1,,,False,False,,,,,,,,,,,,,False,False,False,,,,,False,False,False,False,False,False,False,False,False,False,,UNKNOWN,UNKNOWN_ENTRY_LEVEL,,UNKNOWN_ENTRY_LEVEL,NO_ROUND_LEVEL_WITHIN_THRESHOLD,examples/sample_010.html
