sample_id,candidate_id,source_mode,symbol,candidate_timestamp,decision_timestamp,anchor_timeframe,chart_path,chart_url,index_anchor,execution_data_status,m1_candles_count,m5_candles_count,m15_candles_count,reviewer,review_date,overall_reviewable,pre_entry_only_confirmed,leakage_risk_detected,exclude_from_phase_4,exclude_reason,reviewer_notes,feature_adelinv2_ctx_001_h1_sweep_reaction_context_visible_pre_entry,feature_adelinv2_ctx_001_h1_sweep_reaction_context_label,feature_adelinv2_ctx_001_h1_sweep_reaction_context_confidence,feature_adelinv2_ctx_001_h1_sweep_reaction_context_notes,feature_adelinv2_ctx_002_m5_m15_fvg_reaction_zone_context_visible_pre_entry,feature_adelinv2_ctx_002_m5_m15_fvg_reaction_zone_context_label,feature_adelinv2_ctx_002_m5_m15_fvg_reaction_zone_context_confidence,feature_adelinv2_ctx_002_m5_m15_fvg_reaction_zone_context_notes,feature_adelinv2_ctx_003_m5_m15_ifvg_retest_context_visible_pre_entry,feature_adelinv2_ctx_003_m5_m15_ifvg_retest_context_label,feature_adelinv2_ctx_003_m5_m15_ifvg_retest_context_confidence,feature_adelinv2_ctx_003_m5_m15_ifvg_retest_context_notes,feature_004_numeric_level_confluence_visible_pre_entry,feature_004_numeric_level_confluence_label,feature_004_numeric_level_confluence_confidence,feature_004_numeric_level_confluence_notes,feature_adelinv2_ctx_006_pre_anchor_rejection_candle_morphology_visible_pre_entry,feature_adelinv2_ctx_006_pre_anchor_rejection_candle_morphology_label,feature_adelinv2_ctx_006_pre_anchor_rejection_candle_morphology_confidence,feature_adelinv2_ctx_006_pre_anchor_rejection_candle_morphology_notes,feature_adelinv2_ctx_007_pre_anchor_displacement_context_visible_pre_entry,feature_adelinv2_ctx_007_pre_anchor_displacement_context_label,feature_adelinv2_ctx_007_pre_anchor_displacement_context_confidence,feature_adelinv2_ctx_007_pre_anchor_displacement_context_notes,feature_adelinv2_ctx_008_time_of_day_bucket_context_visible_pre_entry,feature_adelinv2_ctx_008_time_of_day_bucket_context_label,feature_adelinv2_ctx_008_time_of_day_bucket_context_confidence,feature_adelinv2_ctx_008_time_of_day_bucket_context_notes,feature_adelinv2_ctx_009_session_bucket_context_visible_pre_entry,feature_adelinv2_ctx_009_session_bucket_context_label,feature_adelinv2_ctx_009_session_bucket_context_confidence,feature_adelinv2_ctx_009_session_bucket_context_notes,feature_adelinv2_ctx_010_pre_anchor_volatility_bucket_context_visible_pre_entry,feature_adelinv2_ctx_010_pre_anchor_volatility_bucket_context_label,feature_adelinv2_ctx_010_pre_anchor_volatility_bucket_context_confidence,feature_adelinv2_ctx_010_pre_anchor_volatility_bucket_context_notes,metadata_005_tight_numeric_level_touch_band,metadata_005_tight_numeric_level_touch_band_notes
sample_001,,CANDIDATE_WINDOW_MODE,XAUUSD,2026-05-19T17:15:00+00:00,2026-05-19T17:15:00+00:00,M15,charts/sample_001.svg,,examples/sample_001.html,REVIEWABLE_M1_M5,251,50,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_002,,CANDIDATE_WINDOW_MODE,XAUUSD,2026-05-19T15:15:00+00:00,2026-05-19T15:15:00+00:00,M15,charts/sample_002.svg,,examples/sample_002.html,REVIEWABLE_M1_M5,271,55,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_003,,CANDIDATE_WINDOW_MODE,XAUUSD,2026-05-19T19:30:00+00:00,2026-05-19T19:30:00+00:00,M15,charts/sample_003.svg,,examples/sample_003.html,REVIEWABLE_M1_M5,116,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_004,,CANDIDATE_WINDOW_MODE,XAUUSD,2026-05-19T10:45:00+00:00,2026-05-19T10:45:00+00:00,M15,charts/sample_004.svg,,examples/sample_004.html,REVIEWABLE_M1_M5,271,55,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_005,,CANDIDATE_WINDOW_MODE,XAUUSD,2026-05-19T08:15:00+00:00,2026-05-19T08:15:00+00:00,M15,charts/sample_005.svg,,examples/sample_005.html,REVIEWABLE_M1_M5,271,55,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_006,,CANDIDATE_WINDOW_MODE,XAUUSD,2026-05-19T13:45:00+00:00,2026-05-19T13:45:00+00:00,M15,charts/sample_006.svg,,examples/sample_006.html,REVIEWABLE_M1_M5,271,55,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_007,,CANDIDATE_WINDOW_MODE,XAUUSD,2026-05-18T07:15:00+00:00,2026-05-18T07:15:00+00:00,M15,charts/sample_007.svg,,examples/sample_007.html,REVIEWABLE_M1_M5,271,55,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_008,,CANDIDATE_WINDOW_MODE,XAUUSD,2026-03-27T01:15:00+00:00,2026-03-27T01:15:00+00:00,M15,charts/sample_008.svg,,examples/sample_008.html,REVIEWABLE_M1_M5,256,52,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_009,,CANDIDATE_WINDOW_MODE,XAUUSD,2026-05-19T12:00:00+00:00,2026-05-19T12:00:00+00:00,M15,charts/sample_009.svg,,examples/sample_009.html,REVIEWABLE_M1_M5,271,55,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_010,,CANDIDATE_WINDOW_MODE,XAUUSD,2026-05-19T05:30:00+00:00,2026-05-19T05:30:00+00:00,M15,charts/sample_010.svg,,examples/sample_010.html,REVIEWABLE_M1_M5,271,55,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
