sample_id,source_mode,symbol,direction,decision_timestamp,chart_path,html_path,execution_data_status,entry_reference_price,entry_reference_source,m1_range_pips,m1_body_ratio,m1_upper_wick_ratio,m1_lower_wick_ratio,m1_close_location,m1_tick_volume,m5_range_pips,m5_body_ratio,m5_upper_wick_ratio,m5_lower_wick_ratio,m5_close_location,m5_tick_volume,m15_range_pips,m15_body_ratio,m15_upper_wick_ratio,m15_lower_wick_ratio,m15_close_location,m15_tick_volume,session,nearest_round_level,round_level_distance_pips,numeric_level_confluence_20p,tight_numeric_level_touch_band,nearest_liquidity_level,liquidity_type_timeframe,distance_to_liquidity_pips,fvg_ifvg_proximity_available,nearest_fvg_ifvg_zone_type,nearest_fvg_ifvg_distance_pips,nearest_fvg_ifvg_zone_low,nearest_fvg_ifvg_zone_high,compression_6_m5_range_pips,compression_24_m5_range_pips,compression_overlap_proxy,expansion_before_decision_proxy,m5_tick_volume_ratio_20,volume_crack_proxy,m15_context_range_pips,volatility_range_context,target_space_proxy_pips,target_space_proxy_source,sl20_price_proxy,sl40_price_proxy,post_entry_replay_available,max_favorable_pips,max_adverse_pips,max_favorable_usd,max_adverse_usd,max_favorable_r_20pip,max_adverse_r_20pip,time_to_first_50p_favorable_minutes,time_to_first_100p_favorable_minutes,time_to_first_20p_adverse_minutes,time_to_first_40p_adverse_minutes,tp1_proxy_50p_hit,tp2_proxy_100p_hit,tp3_proxy_250p_hit,tp4_proxy_500p_hit,sl20_hit,sl40_hit,timeout_no_followthrough,entry_cross_count_first_60m,final_diagnostic_outcome,failure_mode_tags,win_mode_tags,limitations
sample_001,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-19T17:15:00+00:00,charts/sample_001.svg,examples/sample_001.html,REVIEWABLE_M1_M5,4496.34,LAST_COMPLETED_M1_CLOSE_AT_DECISION,45.5,0.784615,0.063736,0.151648,0.936264,576.0,88.4,0.244344,0.677602,0.078054,0.322398,2821.0,164.6,0.159174,0.49514,0.345687,0.345687,8798.0,NEW_YORK,4500.0,36.6,False,GT_20_PIPS,4464.68,H1_RECENT_LOW,316.6,True,FVG_BEARISH,0.0,4495.59,4503.69,346.0,824.8,False,False,0.987797,False,824.8,HIGH,,,,,False,,,,,,,,,,,False,False,False,False,False,False,False,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,UNKNOWN_DIRECTION_NO_DIRECTIONAL_REPLAY
sample_002,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-19T15:15:00+00:00,charts/sample_002.svg,examples/sample_002.html,REVIEWABLE_M1_M5,4541.74,LAST_COMPLETED_M1_CLOSE_AT_DECISION,21.2,0.240566,0.731132,0.028302,0.028302,277.0,70.9,0.325811,0.218618,0.455571,0.455571,1473.0,76.0,0.155263,0.115789,0.728947,0.884211,4594.0,NEW_YORK_OPEN,4540.0,17.4,True,10-20_PIPS,4548.0,M5_RECENT_HIGH,62.6,True,FVG_BEARISH,0.0,4541.02,4544.28,192.8,225.3,False,False,0.903432,False,225.3,HIGH,175.4,RECENT_M15_HIGH,4539.74,4537.74,True,54.2,770.6,5.42,77.06,2.71,38.53,16.0,,1.0,3.0,True,False,False,False,True,True,False,8,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,
sample_003,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-19T19:30:00+00:00,charts/sample_003.svg,examples/sample_003.html,REVIEWABLE_M1_M5,4508.18,LAST_COMPLETED_M1_CLOSE_AT_DECISION,17.1,0.269006,0.415205,0.315789,0.315789,341.0,57.8,0.216263,0.65917,0.124567,0.124567,1731.0,68.3,0.395315,0.557833,0.046852,0.046852,4645.0,NEW_YORK,4510.0,18.2,True,10-20_PIPS,4512.45,M5_RECENT_HIGH,42.7,True,FVG_BEARISH,0.0,4505.06,4516.34,163.6,262.1,False,False,0.842192,False,262.1,MID,435.0,RECENT_M15_LOW,4510.18,4512.18,True,35.9,42.7,3.59,4.27,1.795,2.135,,,1.0,2.0,False,False,False,False,True,True,True,7,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|PRICE_CHOP_AFTER_ENTRY|STOP_TOO_WIDE|VOLUME_NOT_CONFIRMING_REVERSAL,,
sample_004,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-19T10:45:00+00:00,charts/sample_004.svg,examples/sample_004.html,REVIEWABLE_M1_M5,4542.74,LAST_COMPLETED_M1_CLOSE_AT_DECISION,12.4,0.491935,0.379032,0.129032,0.620968,343.0,122.6,0.721044,0.265905,0.013051,0.734095,1881.0,173.1,0.87175,0.119006,0.009243,0.880994,5554.0,LONDON,4540.0,27.4,False,GT_20_PIPS,4533.12,M5_RECENT_LOW,96.2,True,FVG_BEARISH,0.0,4542.56,4543.53,128.2,220.6,False,True,1.11282,False,258.2,MID,118.5,RECENT_M15_LOW,4544.74,4546.74,True,172.7,165.4,17.27,16.54,8.635,8.27,41.0,177.0,1.0,1.0,True,True,False,False,True,True,False,6,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,
sample_005,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-19T08:15:00+00:00,charts/sample_005.svg,examples/sample_005.html,REVIEWABLE_M1_M5,4545.11,LAST_COMPLETED_M1_CLOSE_AT_DECISION,9.7,0.28866,0.268041,0.443299,0.731959,212.0,41.1,0.671533,0.131387,0.19708,0.19708,1102.0,144.8,0.434392,0.037293,0.528315,0.528315,4671.0,OTHER,4550.0,48.9,False,GT_20_PIPS,4538.05,M5_RECENT_LOW,70.6,True,FVG_BEARISH,2.2,4545.33,4546.23,64.2,170.7,False,False,0.893646,False,242.3,MID,441.3,RECENT_M15_HIGH,4543.11,4541.11,True,141.7,142.2,14.17,14.22,7.085,7.11,64.0,114.0,1.0,6.0,True,True,False,False,True,True,False,0,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,
sample_006,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-19T13:45:00+00:00,charts/sample_006.svg,examples/sample_006.html,REVIEWABLE_M1_M5,4531.33,LAST_COMPLETED_M1_CLOSE_AT_DECISION,44.6,0.457399,0.237668,0.304933,0.762332,414.0,68.2,0.532258,0.237537,0.230205,0.762463,1982.0,169.8,0.907538,0.0,0.092462,1.0,5939.0,OTHER,4530.0,13.3,True,10-20_PIPS,4525.47,H1_RECENT_LOW,58.6,True,FVG_BULLISH,88.4,4540.17,4540.43,174.3,218.9,False,False,1.351103,False,213.4,LOW,,,,,False,,,,,,,,,,,False,False,False,False,False,False,False,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,UNKNOWN_DIRECTION_NO_DIRECTIONAL_REPLAY
sample_007,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-18T07:15:00+00:00,charts/sample_007.svg,examples/sample_007.html,REVIEWABLE_M1_M5,4546.18,LAST_COMPLETED_M1_CLOSE_AT_DECISION,23.7,0.759494,0.126582,0.113924,0.873418,0.0,32.4,0.37037,0.478395,0.151235,0.521605,0.0,171.2,0.682243,0.160631,0.157126,0.157126,0.0,OTHER,4550.0,38.2,False,GT_20_PIPS,4549.83,M5_RECENT_HIGH,36.5,True,FVG_BULLISH,66.1,4537.56,4539.57,104.6,246.2,False,False,,False,246.2,MID,,,,,False,,,,,,,,,,,False,False,False,False,False,False,False,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,UNKNOWN_DIRECTION_NO_DIRECTIONAL_REPLAY
sample_008,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-03-27T01:15:00+00:00,charts/sample_008.svg,examples/sample_008.html,REVIEWABLE_M1_M5,4392.78,LAST_COMPLETED_M1_CLOSE_AT_DECISION,23.7,0.130802,0.413502,0.455696,0.455696,146.0,96.8,0.80062,0.055785,0.143595,0.944215,652.0,96.8,0.655992,0.200413,0.143595,0.799587,1966.0,OTHER,4390.0,27.8,False,GT_20_PIPS,4376.27,M5_RECENT_LOW,165.1,True,FVG_BEARISH,0.0,4380.96,4397.61,242.0,475.6,False,False,0.698933,False,475.6,MID,,,,,False,,,,,,,,,,,False,False,False,False,False,False,False,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,UNKNOWN_DIRECTION_NO_DIRECTIONAL_REPLAY
sample_009,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-19T12:00:00+00:00,charts/sample_009.svg,examples/sample_009.html,REVIEWABLE_M1_M5,4541.54,LAST_COMPLETED_M1_CLOSE_AT_DECISION,23.3,0.532189,0.0,0.467811,0.467811,337.0,27.9,0.476703,0.0,0.523297,0.523297,1272.0,58.8,0.542517,0.0,0.457483,0.457483,4042.0,LONDON,4540.0,15.4,True,10-20_PIPS,4536.4,M5_RECENT_LOW,51.4,True,FVG_BEARISH,0.0,4541.02,4544.28,105.0,228.8,False,False,0.855097,False,228.8,MID,,,,,False,,,,,,,,,,,False,False,False,False,False,False,False,0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,UNKNOWN_DIRECTION_NO_DIRECTIONAL_REPLAY
sample_010,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-19T05:30:00+00:00,charts/sample_010.svg,examples/sample_010.html,REVIEWABLE_M1_M5,4555.75,LAST_COMPLETED_M1_CLOSE_AT_DECISION,43.9,0.899772,0.025057,0.075171,0.075171,428.0,53.4,0.878277,0.020599,0.101124,0.101124,1868.0,88.9,0.391451,0.012373,0.596175,0.596175,5489.0,ASIA,4560.0,42.5,False,GT_20_PIPS,4551.51,M5_RECENT_LOW,42.4,True,FVG_BULLISH,16.2,4557.37,4557.45,107.2,239.9,False,False,0.963309,False,216.7,MID,334.9,RECENT_M15_HIGH,4553.75,4551.75,True,37.3,248.6,3.73,24.86,1.865,12.43,,,5.0,10.0,False,False,False,False,True,True,True,5,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|PRICE_CHOP_AFTER_ENTRY|STOP_TOO_WIDE|VOLUME_NOT_CONFIRMING_REVERSAL,,
