sample_id,priority_score,priority_reasons,final_diagnostic_outcome,failure_mode_tags,win_mode_tags,chart_path,html_path
sample_001,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_001.svg,examples/sample_001.html
sample_002,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_002.svg,examples/sample_002.html
sample_003,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|NO_IMMEDIATE_REACTION|PRICE_CHOP_AFTER_ENTRY|STOP_TOO_WIDE|VOLUME_NOT_CONFIRMING_REVERSAL,,charts/sample_003.svg,examples/sample_003.html
sample_004,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_004.svg,examples/sample_004.html
sample_007,5,EXTREME_OUTCOME|GOOD_OUTCOME_WITH_FEW_PRE_FEATURES,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION,charts/sample_007.svg,examples/sample_007.html
sample_008,5,EXTREME_OUTCOME|AMBIGUOUS_REACTION,MIXED_REACTION,,CLEAN_SWEEP_REJECTION|CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_008.svg,examples/sample_008.html
sample_009,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY,CLEAN_SWEEP_REJECTION|CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_009.svg,examples/sample_009.html
sample_011,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_011.svg,examples/sample_011.html
sample_012,5,EXTREME_OUTCOME|GOOD_OUTCOME_WITH_FEW_PRE_FEATURES,GOOD_FAST_REACTION,,CLEAN_TARGET_SPACE|FAST_REACTION|STRONG_MFE_LOW_MAE,charts/sample_012.svg,examples/sample_012.html
sample_014,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_014.svg,examples/sample_014.html
sample_016,5,EXTREME_OUTCOME|BAD_OUTCOME_DESPITE_PRE_FEATURES,FAST_FAILURE,CONTINUATION_AGAINST_ENTRY|PRICE_CHOP_AFTER_ENTRY|REACTION_TOO_LATE,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION|ROUND_LEVEL_REACTION,charts/sample_016.svg,examples/sample_016.html
sample_017,5,EXTREME_OUTCOME|AMBIGUOUS_REACTION,MIXED_REACTION,,CLEAN_TARGET_SPACE|FVG_IFVG_REACTION,charts/sample_017.svg,examples/sample_017.html
