sample_id,source_mode,symbol,direction_guess,window_start,window_end,anchor_timestamp,anchor_timeframe,chart_path,html_path,htf_liquidity_class_manual,ltf_liquidity_class_manual,multi_tf_alignment_manual,liquidity_taken_manual,liquidity_depth_quality_manual,shallow_liquidity_trap_manual,target_liquidity_available_manual,reaction_zone_present_manual,reaction_zone_type_manual,reaction_zone_age_quality_manual,fvg_valid_manual,ifvg_valid_manual,volume_crack_present_manual,volume_profile_clean_manual,number_theory_confluence_manual,adelin_v2_label_manual,would_trade_manual,no_trade_reason_manual,setup_quality_score_manual,reversal_or_continuation_manual,rare_ifvg_continuation_candidate_manual,expected_sl_pips_manual,sl_acceptable_manual,be_after_reaction_manual,early_close_candidate_manual,accumulation_after_entry_manual,m1_engulfing_against_manual,runner_target_manual,partial_management_manual,expected_target_area_manual,actual_reaction_quality_manual,actual_followthrough_quality_manual,reviewer_confidence_manual,reviewer_notes
sample_001,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-05-14T08:30:00+00:00,2024-05-14T13:00:00+00:00,2024-05-14T10:00:00+00:00,M15,charts/sample_001.svg,examples/sample_001.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_002,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2024-05-14T05:30:00+00:00,2024-05-14T10:00:00+00:00,2024-05-14T07:00:00+00:00,M15,charts/sample_002.svg,examples/sample_002.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_003,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2024-05-15T02:00:00+00:00,2024-05-15T06:30:00+00:00,2024-05-15T03:30:00+00:00,M15,charts/sample_003.svg,examples/sample_003.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_004,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2024-05-20T02:45:00+00:00,2024-05-20T07:15:00+00:00,2024-05-20T04:15:00+00:00,M15,charts/sample_004.svg,examples/sample_004.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_005,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2024-05-23T15:00:00+00:00,2024-05-23T19:30:00+00:00,2024-05-23T16:30:00+00:00,M15,charts/sample_005.svg,examples/sample_005.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_006,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-05-30T12:15:00+00:00,2024-05-30T16:45:00+00:00,2024-05-30T13:45:00+00:00,M15,charts/sample_006.svg,examples/sample_006.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_007,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-08-05T05:15:00+00:00,2024-08-05T09:45:00+00:00,2024-08-05T06:45:00+00:00,M15,charts/sample_007.svg,examples/sample_007.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_008,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-11-06T23:30:00+00:00,2024-11-07T04:00:00+00:00,2024-11-07T01:00:00+00:00,M15,charts/sample_008.svg,examples/sample_008.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_009,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-05-15T05:30:00+00:00,2024-05-15T10:00:00+00:00,2024-05-15T07:00:00+00:00,M15,charts/sample_009.svg,examples/sample_009.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_010,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2024-05-14T10:45:00+00:00,2024-05-14T15:15:00+00:00,2024-05-14T12:15:00+00:00,M15,charts/sample_010.svg,examples/sample_010.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_011,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2024-05-15T13:45:00+00:00,2024-05-15T18:15:00+00:00,2024-05-15T15:15:00+00:00,M15,charts/sample_011.svg,examples/sample_011.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_012,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2024-05-20T15:30:00+00:00,2024-05-20T20:00:00+00:00,2024-05-20T17:00:00+00:00,M15,charts/sample_012.svg,examples/sample_012.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_013,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2024-06-12T19:30:00+00:00,2024-06-13T00:00:00+00:00,2024-06-12T21:00:00+00:00,M15,charts/sample_013.svg,examples/sample_013.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_014,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-06-14T11:45:00+00:00,2024-06-14T16:15:00+00:00,2024-06-14T13:15:00+00:00,M15,charts/sample_014.svg,examples/sample_014.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_015,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-11-06T06:30:00+00:00,2024-11-06T11:00:00+00:00,2024-11-06T08:00:00+00:00,M15,charts/sample_015.svg,examples/sample_015.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_016,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-11-13T23:45:00+00:00,2024-11-14T04:15:00+00:00,2024-11-14T01:15:00+00:00,M15,charts/sample_016.svg,examples/sample_016.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_017,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2024-05-15T11:30:00+00:00,2024-05-15T16:00:00+00:00,2024-05-15T13:00:00+00:00,M15,charts/sample_017.svg,examples/sample_017.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_018,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2024-05-14T13:45:00+00:00,2024-05-14T18:15:00+00:00,2024-05-14T15:15:00+00:00,M15,charts/sample_018.svg,examples/sample_018.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_019,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2024-05-16T08:15:00+00:00,2024-05-16T12:45:00+00:00,2024-05-16T09:45:00+00:00,M15,charts/sample_019.svg,examples/sample_019.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_020,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2024-05-21T14:30:00+00:00,2024-05-21T19:00:00+00:00,2024-05-21T16:00:00+00:00,M15,charts/sample_020.svg,examples/sample_020.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_021,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2024-07-01T15:30:00+00:00,2024-07-01T20:00:00+00:00,2024-07-01T17:00:00+00:00,M15,charts/sample_021.svg,examples/sample_021.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
